@metric_space matrix
@items item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20
0	9	12	8	10	15	15	9	10	10	12	9	12	9	12	11	10	10	7	10	
9	0	13	7	9	14	10	8	9	11	11	8	9	6	11	10	11	9	8	9
12	13	0	10	12	13	15	11	10	16	14	9	12	11	12	9	14	10	11	12
8	7	10	0	4	11	9	5	6	10	10	5	10	5	6	7	8	6	7	6
10	9	12	4	0	11	9	5	8	10	12	5	12	7	8	9	8	8	9	6
15	14	13	11	11	0	16	10	11	17	17	10	15	12	11	12	13	13	8	13	
15	10	15	9	9	16	0	12	11	9	17	12	15	10	11	10	15	11	14	11
9	8	11	5	5	10	12	0	7	11	11	4	11	6	9	8	5	7	8	7	
10	9	10	6	8	11	11	7	0	10	10	5	12	7	10	5	10	8	7	6	
10	11	16	10	10	17	9	11	10	0	16	11	12	11	14	13	14	12	11	6	
12	11	14	10	12	17	17	11	10	16	0	11	12	11	14	11	14	10	11	12	
9	8	9	5	5	10	12	4	5	11	11	0	11	6	9	8	7	7	6	7
12	9	12	10	12	15	15	11	12	12	12	11	0	9	14	13	14	12	11	10
9	6	11	5	7	12	10	6	7	11	11	6	9	0	9	8	9	7	8	7
12	11	12	6	8	11	11	9	10	14	14	9	14	9	0	9	12	8	11	10
11	10	9	7	9	12	10	8	5	13	11	8	13	8	9	0	11	7	10	7
10	11	14	8	8	13	15	5	10	14	14	7	14	9	12	11	0	10	11	10
10	9	10	6	8	13	11	7	8	12	10	7	12	7	8	7	10	0	9	8
7	8	11	7	9	8	14	8	7	11	11	6	11	8	11	10	11	9	0	9
10	9	12	6	6	13	11	7	6	6	12	7	10	7	10	7	10	8	9	0
