numConform: 8
N: 4
-32.5	91.2	11.7
12.8	-18.3	-77.1
20.2	17.5	-55.7
15.6	84.5	11.1
65.7	45.8	87.1
82.3	51.2	-12.9
-11.9	15.3	91.3
42.9	63.7	5.2
-98.4	191.2	151.2
52.7	65.3	-77.1
200.2	-817.5	555.7
-158.6	784.5	111.1
458.4	-411.2	171.2
2.7		-45.3	987.1
-80.2	98.5	-773.7
-278.6	-84.5	-88.5
59.2	52.3	-186.2
582.7	-587.3	-43.9
280.5	-975.7	232.4
208.6	804.5	976.4
58.8	-96.1	-98.3
54.6	875.6	10.9
87.6	32.5	12.8
89.7	2.9 	96.2
43.9	24.6	102.8
70.4	30.2	99.5
32.9	48.4	63.9
-9.5	-87.6	-14.6
596.5	123.6	9.8
74.5	85.9	-36.7
587.3	87.6	1.6
89.4	636.7	81.6
